Time,Pa,P1,first_derivative,second_derivative
0,98662.06,0.01,,
318,98673.36,0.02,11.30000000000291,
631,98678.13,0.02,4.7700000000040745,-6.529999999998836
945,98712.43,0.03,34.29999999998836,29.529999999984284
1259,98678.7,0.02,-33.729999999995925,-68.02999999998428
1577,98678.8,0.02,0.10000000000582077,33.830000000001746
1891,98676.65,0.02,-2.150000000008731,-2.250000000014552
2204,98670.28,0.02,-6.369999999995343,-4.219999999986612
2518,98660.55,0.01,-9.729999999995925,-3.360000000000582
2836,98667.19,0.02,6.639999999999418,16.369999999995343
3149,98655.88,0.01,-11.309999999997672,-17.94999999999709
3463,98670.19,0.02,14.309999999997672,25.619999999995343
3777,98671.66,0.02,1.4700000000011642,-12.839999999996508
4094,98664.95,0.02,-6.710000000006403,-8.180000000007567
4407,98669.2,0.02,4.25,10.960000000006403
4721,98665.02,0.02,-4.179999999993015,-8.429999999993015
5035,98669.09,0.02,4.069999999992433,8.249999999985448
5353,98665.84,0.02,-3.25,-7.319999999992433
5666,98659.16,0.01,-6.679999999993015,-3.429999999993015
5980,98664.66,0.02,5.5,12.179999999993015
6294,98680.98,0.02,16.319999999992433,10.819999999992433
6623,98667.66,0.02,-13.319999999992433,-29.639999999984866
6936,98658.16,0.01,-9.5,3.819999999992433
7250,98672.73,0.02,14.569999999992433,24.069999999992433
7564,98659.89,0.01,-12.839999999996508,-27.40999999998894
7882,98663.56,0.01,3.6699999999982538,16.50999999999476
8195,98657.29,0.01,-6.2700000000040745,-9.940000000002328
8509,98648.27,0.01,-9.019999999989523,-2.749999999985448
8823,98601.97,0.0,-46.30000000000291,-37.28000000001339
9141,98659.66,0.01,57.69000000000233,103.99000000000524
9454,98669.36,0.02,9.69999999999709,-47.99000000000524
9767,98678.46,0.02,9.10000000000582,-0.5999999999912689
10080,98674.02,0.02,-4.440000000002328,-13.540000000008149
10393,98676.59,0.02,2.569999999992433,7.009999999994761
10707,98669.38,0.02,-7.209999999991851,-9.779999999984284
11021,98660.02,0.01,-9.360000000000582,-2.150000000008731
11335,98637.56,0.01,-22.460000000006403,-13.10000000000582
11653,98646.08,0.01,8.520000000004075,30.980000000010477
11966,98660.98,0.01,14.89999999999418,6.379999999990105
12280,98683.91,0.02,22.930000000007567,8.030000000013388
12593,98674.84,0.02,-9.070000000006985,-32.00000000001455
12906,98668.84,0.02,-6.0,3.070000000006985
13223,98678.77,0.02,9.930000000007567,15.930000000007567
13536,98661.01,0.01,-17.760000000009313,-27.69000000001688
13850,98661.17,0.01,0.16000000000349246,17.920000000012806
14163,98658.49,0.01,-2.679999999993015,-2.8399999999965075
14480,98656.24,0.01,-2.25,0.4299999999930151
14793,98649.57,0.01,-6.669999999998254,-4.419999999998254
15106,98666.04,0.02,16.469999999986612,23.139999999984866
15420,98668.62,0.02,2.5800000000017462,-13.889999999984866
15738,98672.29,0.02,3.6699999999982538,1.0899999999965075
16052,98662.03,0.01,-10.259999999994761,-13.929999999993015
16366,98667.03,0.02,5.0,15.259999999994761
16680,98667.15,0.02,0.11999999999534339,-4.880000000004657
16998,98667.22,0.02,0.07000000000698492,-0.04999999998835847
17311,98661.77,0.01,-5.44999999999709,-5.5200000000040745
17624,98663.63,0.01,1.860000000000582,7.309999999997672
17938,98655.19,0.01,-8.440000000002328,-10.30000000000291
18256,98683.87,0.02,28.679999999993015,37.11999999999534
18569,98665.84,0.02,-18.029999999998836,-46.70999999999185
18883,98674.13,0.02,8.290000000008149,26.320000000006985
19196,98662.26,0.01,-11.870000000009895,-20.160000000018044
19532,98670.73,0.02,8.470000000001164,20.34000000001106
19845,98664.14,0.02,-6.5899999999965075,-15.059999999997672
20158,98667.83,0.02,3.6900000000023283,10.279999999998836
20472,98653.41,0.01,-14.419999999998254,-18.110000000000582
20789,98635.39,0.01,-18.020000000004075,-3.6000000000058208
21102,98652.49,0.01,17.10000000000582,35.120000000009895
21416,98671.2,0.02,18.70999999999185,1.6099999999860302
21730,98663.6,0.01,-7.599999999991269,-26.30999999998312
22048,98682.8,0.02,19.19999999999709,26.79999999998836
22362,98670.51,0.02,-12.290000000008149,-31.49000000000524
22676,98669.36,0.02,-1.1499999999941792,11.14000000001397
22990,98659.08,0.01,-10.279999999998836,-9.130000000004657
23308,98672.48,0.02,13.39999999999418,23.679999999993015
23622,98651.47,0.01,-21.00999999999476,-34.40999999998894
23936,98656.42,0.01,4.94999999999709,25.95999999999185
24250,98661.7,0.01,5.279999999998836,0.33000000000174623
24568,98674.07,0.02,12.370000000009895,7.0900000000110595
24882,98666.8,0.02,-7.2700000000040745,-19.64000000001397
25196,98671.2,0.02,4.399999999994179,11.669999999998254
25510,98651.19,0.01,-20.00999999999476,-24.40999999998894
25828,98658.8,0.01,7.610000000000582,27.619999999995343
26142,98657.79,0.01,-1.0100000000093132,-8.620000000009895
26456,98644.38,0.01,-13.40999999998894,-12.399999999979627
26770,98651.31,0.01,6.929999999993015,20.339999999981956
27088,98659.44,0.01,8.130000000004657,1.2000000000116415
27401,98671.08,0.02,11.639999999999418,3.5099999999947613
27715,98670.94,0.02,-0.13999999999941792,-11.779999999998836
28029,98660.59,0.01,-10.35000000000582,-10.210000000006403
28347,98664.14,0.02,3.5500000000029104,13.900000000008731
28660,98665.71,0.02,1.570000000006985,-1.9799999999959255
28974,98647.24,0.01,-18.470000000001164,-20.04000000000815
29288,98658.61,0.01,11.369999999995343,29.839999999996508
29605,98649.13,0.01,-9.479999999995925,-20.84999999999127
29919,98664.55,0.02,15.419999999998254,24.89999999999418
30233,98666.71,0.02,2.1600000000034925,-13.259999999994761
30547,98659.7,0.01,-7.010000000009313,-9.170000000012806
30865,98661.9,0.01,2.1999999999970896,9.210000000006403
31179,98665.58,0.02,3.680000000007567,1.4800000000104774
31493,98651.19,0.01,-14.389999999999418,-18.070000000006985
31807,98653.59,0.01,2.3999999999941792,16.789999999993597
32125,98659.89,0.01,6.30000000000291,3.900000000008731
32440,98659.66,0.01,-0.22999999999592546,-6.529999999998836
32754,98666.2,0.02,6.539999999993597,6.769999999989523
33068,98659.99,0.01,-6.209999999991851,-12.749999999985448
33386,98660.28,0.01,0.28999999999359716,6.499999999985448
33700,98643.86,0.01,-16.419999999998254,-16.70999999999185
34014,98637.19,0.01,-6.669999999998254,9.75
34328,98661.61,0.01,24.419999999998254,31.089999999996508
34646,98667.59,0.02,5.9799999999959255,-18.44000000000233
34960,98640.27,0.01,-27.319999999992433,-33.29999999998836
35274,99230.52,0.15,590.25,617.5699999999924
35588,99802.56,0.29,572.0399999999936,-18.210000000006403
35906,99882.59,0.31,80.02999999999884,-492.00999999999476
36220,99532.2,0.23,-350.3899999999994,-430.41999999999825
36534,99731.98,0.27,199.77999999999884,550.1699999999983
36848,99721.68,0.27,-10.30000000000291,-210.08000000000175
37177,99737.29,0.28,15.610000000000582,25.910000000003492
37491,99937.22,0.32,199.93000000000757,184.32000000000698
37805,101195.39,0.63,1258.1699999999983,1058.2399999999907
38119,102416.2,0.92,1220.8099999999977,-37.36000000000058
38437,102726.49,1.0,310.29000000000815,-910.5199999999895
38751,101418.84,0.68,-1307.6500000000087,-1617.9400000000169
39065,101650.98,0.74,232.13999999999942,1539.7900000000081
39379,100606.04,0.49,-1044.9400000000023,-1277.0800000000017
39697,98676.21,0.02,-1929.8299999999872,-884.8899999999849
40011,100444.98,0.45,1768.7699999999895,3698.5999999999767
40325,98803.02,0.05,-1641.9599999999919,-3410.7299999999814
40639,98692.67,0.02,-110.35000000000582,1531.609999999986
40957,98692.84,0.02,0.16999999999825377,110.52000000000407
41271,98655.34,0.01,-37.5,-37.669999999998254
41585,98648.45,0.01,-6.889999999999418,30.610000000000582
41899,98656.94,0.01,8.490000000005239,15.380000000004657
42217,98663.86,0.02,6.919999999998254,-1.570000000006985
42531,98812.7,0.05,148.8399999999965,141.91999999999825
42845,99426.29,0.2,613.5899999999965,464.75
43159,98657.29,0.01,-769.0,-1382.5899999999965
43477,98665.3,0.02,8.010000000009313,777.0100000000093
43791,98664.45,0.02,-0.8500000000058208,-8.860000000015134
44105,98642.05,0.01,-22.39999999999418,-21.54999999998836
44419,98641.02,0.01,-1.0299999999988358,21.369999999995343
44737,98668.75,0.02,27.729999999995925,28.75999999999476
45051,98665.59,0.02,-3.1600000000034925,-30.889999999999418
45365,98676.78,0.02,11.190000000002328,14.35000000000582
45679,98664.16,0.02,-12.619999999995343,-23.80999999999767
45997,98664.45,0.02,0.28999999999359716,12.90999999998894
46311,98662.98,0.01,-1.4700000000011642,-1.7599999999947613
46625,98651.8,0.01,-11.179999999993015,-9.709999999991851
46939,98634.78,0.01,-17.020000000004075,-5.8400000000110595
47257,98660.02,0.01,25.24000000000524,42.26000000000931
